FCID,ANNPRE,ANNTMP,AUGMAXT,CONTPRE,CVPRE,DECMINT,DIFTMP,SMRTMP,SMRTP,ASPTR,DEM,PRR,SLPPCT,TPI450,TC1,TC2,TC3,NBR
54717,731,1132.6667,2713.6667,492.7778,9093,173,2541,1667.5556,317,149,434.3333,11995.6667,45.4444,69.7778,201.6667,151.6667,-36.4444,714.2222
54718,740,1118.5556,2657.5556,509.8889,9141,180.6667,2476.7778,1638.2222,305,12.1111,442.1111,19283.3333,24.8889,55.3333,227.3333,214.6667,-7,859.3333
54719,743,1112.2222,2644.1111,510.1111,9151.3333,177.6667,2466.5556,1630.3333,301.4444,24.8889,297.4444,19521.4444,59.8889,-43.3333,338.1111,318.5556,-31.2222,826.3333
54720,739.6667,1125.1111,2690.4444,511,9132.1111,164,2526.3333,1651,307.3333,0.6667,323.4444,18730.4444,40,12.2222,207.7778,173.7778,-24.2222,778.6667
54721,735,1136,2757.3333,514,9116,132,2625.3333,1672.4444,314,16.6667,241.1111,15141.5556,63.1111,-19,199.3333,171,-23.7778,782.3333
54722,737,1128.5556,2712.6667,510,9078.7778,169.4444,2543.2222,1658.5556,309,178.6667,248.1111,12411.8889,46.2222,-78,237.2222,199.6667,-37.5556,753.8889
54723,736,1119.1111,2692.5556,501.6667,9030.2222,178.1111,2514.4444,1649.7778,309,19.6667,337.6667,16869.4444,34.3333,-50.8889,231,190.8889,-25.2222,782.7778
54724,735,1125.3333,2707.8889,506.2222,9049.4444,175.3333,2532.3333,1658,311,133.6667,394.7778,12374.1111,50.2222,50.4444,153.6667,127.3333,-13.8889,797
54725,734.3333,1121.8889,2695.3333,512,9063.8889,179.5556,2515.8889,1650.5556,309.8889,169.3333,358.3333,14141.8889,63.7778,-7,314.8889,271.2222,-51.6667,749.7778
54726,735,1133.6667,2741.7778,513,9094,149.6667,2592,1670.6667,313,46.8889,283.3333,20450.5556,59.4444,-13.2222,229.1111,188.4444,-34.4444,758.2222
54727,730.6667,1134,2748.1111,519.6667,9074.5556,148.6667,2599.5556,1669,315,48.2222,390.1111,17158.7778,18.7778,74.1111,214.1111,174.7778,-38.6667,731.5556
54728,730,1133.6667,2741.5556,520.6667,9068,154.2222,2587.3333,1668.2222,315,182.6667,384.2222,13598.8889,39.5556,77,295.3333,202.4444,-74.7778,627.1111
54729,732,1140,2769.6667,516,9082.7778,125.5556,2644,1684,317,26.1111,220.1111,18758.4444,20,-9.2222,202.3333,168.4444,-25.2222,771.7778
54730,730,1139,2749.5556,518.1111,9058.1111,149,2600.5556,1677.6667,317,15.8889,260.2222,19365.5556,26.2222,-12.2222,193.5556,155.8889,-23.6667,773
54731,729.8889,1135,2730.1111,515.6667,9056.1111,165.2222,2565,1669.3333,315.2222,120.7778,390.8889,18420.8889,40.5556,35.5556,246.5556,207.1111,-42.4444,750.3333
54732,721,1127.3333,2707,545.3333,8933,164.1111,2543,1660.8889,315.8889,48.5556,438.2222,19661.2222,33,80.2222,201.1111,163.7778,-30,752.5556
54733,722,1116.7778,2696,556.6667,8891.3333,166,2530.3333,1650.7778,312,21.4444,338.7778,20433.7778,67.8889,21.8889,232.6667,191.1111,-33.6667,764.5556
54734,718,1150,2780.2222,556,8885.8889,124.3333,2655.6667,1691.4444,321.6667,68.2222,191.6667,13750.6667,43.6667,-25.5556,179.2222,143,-31.3333,735.5556
54735,720.8889,1114.5556,2697.8889,555,8892.5556,162.6667,2535.2222,1652,313,184.7778,419.7778,8971,71.7778,75.1111,158,126.2222,-20.4444,758.3333
54736,722,1141.4444,2745.7778,574.8889,8851,148.3333,2597.5556,1679.6667,316,192.2222,327.3333,12487.7778,59,41.2222,169,133.5556,-22.8889,759.7778
54737,722,1129.6667,2723.6667,561.4444,8878.6667,142,2581.6667,1669.3333,314.3333,57.2222,428.7778,18458.1111,40.5556,68.5556,201.8889,165.1111,-26,755.8889
54738,720,1127.2222,2714.3333,564.6667,8867.2222,149.2222,2565,1663.8889,314,198,395.7778,12899.3333,35.4444,47.3333,195.1111,153.5556,-27.2222,748
54739,720,1126,2711.1111,564.5556,8867.2222,150.4444,2560.6667,1662.3333,314,24.4444,396.6667,19003.7778,44.3333,50.2222,227.1111,183,-33.7778,737.6667
54740,722,1126.7778,2709.3333,590,8827.5556,153,2556.3333,1661.8889,310,152.7778,399,16398.7778,73.8889,39.7778,208.7778,169.2222,-29,759.3333
54741,720,1133,2723.5556,570.5556,8853,150.7778,2572.8889,1665,314,63.5556,367,20436.6667,52.5556,66.4444,240,180,-49.4444,686.3333
54742,721,1133.6667,2722.5556,574.3333,8849.5556,152.1111,2570.3333,1665.6667,313,97.3333,404.3333,10281.4444,66.6667,53,147.7778,118.8889,-17.2222,767.5556
54743,723,1112.4444,2682.8889,614.3333,8802.4444,155.3333,2527.6667,1647,305,119.4444,490.3333,13961.7778,28.2222,92.5556,174.5556,144.3333,-19.7778,780.5556
54744,723,1115.4444,2688.2222,608.3333,8809.4444,153.6667,2534.6667,1650.8889,306,124.3333,396.2222,10841,45,-18.6667,152.7778,124.2222,-20.6667,764.7778
54745,721,1134,2727,581.1111,8840.6667,149.1111,2578.1111,1669.7778,312.4444,8.7778,299.8889,19631.4444,43.6667,-39.2222,197.2222,165.3333,-23.2222,784.6667
54746,722,1132.3333,2721.6667,590,8826.5556,150,2571.3333,1667,311,56.4444,300.2222,12944.1111,46.1111,-45.1111,151.5556,123.4444,-18.2222,774.7778
54747,722,1113.4444,2693.1111,617.1111,8797.6667,150.6667,2542.3333,1648.5556,306,165.6667,526.2222,15708.5556,50.5556,102,183.7778,149.7778,-25.5556,762.6667
54748,721,1118.4444,2708.6667,610.7778,8818.6667,148.5556,2560,1655,307,44.5556,445.7778,16117,32.4444,63.2222,173,136.6667,-24.3333,749.4444
54749,713,1168.3333,2817.8889,541.6667,8933.3333,127.1111,2690.6667,1708.2222,328.8889,6.1111,220.3333,17948.1111,43.3333,43.7778,207.7778,172.1111,-24.1111,775.8889
54750,714,1151.2222,2774.8889,544.6667,8931.3333,134,2641,1691.1111,325,123.6667,324.6667,14709.3333,16.8889,44,170.5556,141.1111,-17,785.5556
54751,719,1122.3333,2700.3333,573.4444,8845.7778,162,2538.3333,1661,313.4444,195.4444,467.4444,15184.8889,16.3333,86.5556,170.1111,137.6667,-19.1111,768.6667
54752,745,964.6667,2639,724,8286.8889,-45.1111,2685.3333,1522,268,72.5556,1066.8889,19510.1111,37.8889,78,206.7778,149.6667,-34.4444,710.8889
54753,747.6667,948.3333,2612.7778,722.6667,8314.5556,-37.3333,2650.8889,1501.3333,263,69.3333,1068,14098.3333,44.1111,18.7778,169,117.4444,-31.5556,689.4444
54754,747,954.1111,2620.4444,722.3333,8311.3333,-31.6667,2653,1507.5556,264,44.7778,1121.1111,19087.7778,30.6667,74.7778,275.8889,177.6667,-47.6667,658.8889
54755,760,1082,2789.3333,622.7778,8515.6667,34.1111,2755.6667,1653.2222,289,182,624.3333,8427.7778,63.3333,-34.5556,178.5556,138.8889,-30.2222,724.5556
54756,746,1046.7778,2754.5556,641.3333,8499.6667,10,2745.2222,1618.1111,288.6667,195.1111,760.8889,7557.5556,74.8889,-11.4444,174.8889,119.3333,-35.6667,663.2222
54757,748.4444,1019.5556,2714.6667,639,8490.3333,4,2711,1582.4444,281.5556,140.8889,749.8889,12483.3333,57.2222,-115.4444,228.2222,174.2222,-46.6667,697.2222
54758,756,1077,2807,624.2222,8519.1111,8,2799.4444,1647,290,1.1111,528.2222,16467.6667,54.2222,-76.8889,221.3333,166.5556,-40.7778,712
54759,758.1111,1006.4444,2682.5556,607.3333,8571,16.2222,2666.5556,1562.3333,275.2222,63.4444,938.3333,14632,37.5556,62.2222,162.3333,113.6667,-28.7778,674.7778
54760,759,1002.6667,2687.7778,616.2222,8531.1111,-5,2693.1111,1561.2222,274.2222,9.8889,1060.4444,18027.7778,22.6667,113.4444,273.8889,204.7778,-50.3333,710.1111
54761,710,1148.3333,2762.5556,456.2222,9102.4444,152.2222,2610.1111,1685.6667,336.6667,42.8889,301,15765.5556,31.1111,0.5556,171.6667,135.4444,-19.2222,761.5556
54762,709,1135.1111,2741,454.6667,9109,160.2222,2580.5556,1672.3333,335,180.8889,452.8889,15900.2222,30,95.4444,181.7778,141.5556,-22.8889,750.2222
54763,710,1140.7778,2735.1111,450,9125.5556,163,2572.6667,1669.3333,335,3.2222,370.7778,18627.2222,34.6667,29.4444,245.6667,163,-64.4444,624.1111
54764,710,1153.5556,2772.5556,459.5556,9088.3333,148.7778,2623.6667,1689.3333,337.3333,42.8889,280.7778,15494.8889,37.6667,6.4444,155.3333,122.8889,-15.5556,770.4444
54765,703,1166.2222,2792.3333,511.2222,8953.3333,137,2655.1111,1701.2222,338,125.6667,265.2222,17972.4444,40.6667,33.5556,189.2222,143.4444,-29,723.3333
54766,707,1119.7778,2694.3333,502.1111,8972,159.4444,2535,1648.1111,325.8889,80.1111,439.3333,14270.5556,31.6667,28.5556,133.7778,109.1111,-10.8889,785.6667
54767,711,1138.1111,2739.3333,476.6667,9014.4444,159.6667,2579.6667,1671.2222,330.6667,80.6667,369.7778,14049.7778,34.4444,-0.2222,194.7778,161,-19.8889,785.8889
54768,710,1131,2709.1111,486.7778,8996.4444,158.8889,2550.1111,1657.2222,327.1111,124.1111,362.8889,13370,27,30.6667,160.3333,128.2222,-15,776.1111
54769,703,1164,2809.1111,511,8967.7778,145.2222,2664,1710.5556,338.8889,53.3333,264.6667,14750.1111,26,-9,202.6667,151.2222,-32.7778,718.3333
54770,704.4444,1173.3333,2821,467.6667,9058.6667,137.5556,2683.3333,1715.7778,344.3333,57,204.1111,14799.4444,34.3333,-29,167.8889,133.7778,-17.7778,769.4444
54771,702.8889,1168,2791.2222,459.3333,9101.3333,162.8889,2628.3333,1704,343.7778,58.2222,280.6667,18968.7778,29.8889,39.3333,219.5556,185.8889,-20.4444,793.3333
54772,710.7778,1128,2723,469.2222,9047.5556,149.8889,2573.2222,1666,330.1111,3.6667,341.5556,19481.1111,48.1111,-10.6667,207.7778,163.4444,-27.1111,747.6667
54773,711,1105.6667,2674.8889,488.3333,8964.5556,167.1111,2507.7778,1634.8889,322,18.8889,560.8889,17229.6667,27.2222,50.8889,187.3333,152.8889,-16.8889,780.8889
54774,717.3333,1181.4444,2781.6667,475.1111,9097.6667,173.6667,2608,1704.2222,333.6667,188.2222,273.6667,11118.1111,56.2222,90,198.3333,168.4444,-24.7778,778.5556
54775,719,1159,2741,481,9077.2222,174.8889,2566.2222,1681.1111,327.3333,138.3333,303.3333,15097,35.1111,72.6667,201.2222,157.8889,-31.5556,735.1111
54776,720.7778,1141.8889,2714.7778,486.8889,9048.4444,178.8889,2535.8889,1665.3333,322,132.1111,411.6667,14837.4444,39.2222,116.2222,204.7778,174.4444,-20.1111,793.6667
54777,719.1111,1133.8889,2698.6667,497,9012,173.3333,2525.3333,1657,321,140.1111,429.5556,17769,51.7778,87.3333,330.3333,236.1111,-85.4444,644.3333
54778,722,1116,2671.7778,495,9010.2222,180.3333,2491.4444,1638.3333,316.1111,51.1111,472.6667,18879.3333,23.8889,56.7778,199.5556,161.4444,-28.2222,743.3333
54779,719,1130.1111,2705.5556,481,9023.3333,169,2536.5556,1659.2222,322.6667,176.7778,299.2222,12667.7778,45.1111,-52.3333,208.5556,181.4444,-19.5556,804.4444
54780,716,1177.6667,2809.1111,479.1111,9058.3333,159.1111,2650.2222,1703.3333,333.3333,155.6667,110.4444,14145,37.4444,-59.7778,232.2222,196.3333,-33.2222,768.1111
54781,716.3333,1127.3333,2709.3333,456.6667,9082.1111,160.6667,2549,1658.1111,327.4444,15.5556,313.5556,20627.5556,64.4444,-37.7778,238.3333,188.2222,-42.1111,725.5556
54782,718.6667,1124.6667,2702.1111,457,9088,162,2539.8889,1657.3333,325.5556,25.8889,428.1111,19425.5556,50.1111,-6.2222,212.1111,173.8889,-27,765.7778
54783,719,1134,2723.6667,467,9066.4444,158.3333,2565.3333,1665.6667,325.5556,102.4444,312.1111,13847.8889,21.8889,2.3333,169,133.8889,-22.3333,755.7778
54784,718,1154.5556,2778.3333,467,9070.2222,151.8889,2626.6667,1688.4444,331,2.4444,213.8889,17031.5556,14.3333,-27.3333,216.4444,184.4444,-20.2222,798.7778
54785,714,1207.4444,2845.8889,465,9096.7778,191,2655,1731,342.3333,1.4444,73.3333,19296.1111,44.4444,-20.1111,223.5556,169.3333,-38.8889,722.5556
54786,716,1179.3333,2820.4444,468,9075,153,2667.6667,1710.5556,336.8889,9.3333,137.4444,16642.4444,34.3333,-39.5556,200.8889,158.5556,-33.1111,739.2222
54787,721,1121.7778,2809.8889,588,8728.4444,65.8889,2744,1676.8889,314.3333,54.8889,408.4444,16994.8889,18.1111,15.2222,179.8889,133.3333,-27.3333,718.4444
54788,730,1120.3333,2835.8889,589,8709,51.7778,2784.2222,1678.2222,310.6667,198.5556,423.5556,14466.1111,22.2222,37,241.6667,171.8889,-54.7778,673.4444
54789,711,1105.7778,2671.8889,507.3333,9014.1111,149.6667,2522,1632.2222,319,117,519.2222,18694.8889,56.6667,74.3333,193.6667,155.4444,-25.1111,762.8889
54790,724,1117.6667,2787.7778,588,8725,75.7778,2712,1672.6667,312.1111,40.7778,552.3333,16775.8889,26.7778,60.2222,175.4444,127,-28.8889,701.7778
54791,719.1111,1118.6667,2778,594.3333,8746.3333,84,2693.7778,1671,313.7778,118.7778,617.2222,14706,53.4444,157.2222,171.7778,133.8889,-24.5556,748.6667
54792,717.5556,1121,2785,590.2222,8761.7778,78.6667,2706.4444,1674.4444,315.2222,26.5556,461.3333,17063.5556,37.3333,2.2222,193.6667,144.5556,-35.4444,707.7778
54793,719,1111.1111,2779,589.8889,8741,61.5556,2717.5556,1659,312,193.7778,394.4444,11875.6667,47.2222,-14.3333,156.8889,117,-21.4444,733.5556
54794,718.6667,1109,2768,588.1111,8744.5556,64.7778,2703.2222,1655,312,183.2222,500.2222,15281.5556,33.8889,73.1111,191.7778,138.6667,-34.8889,691.1111
54795,720,1115.5556,2792.8889,588.3333,8781.5556,63,2730,1671.3333,313,27.3333,391.2222,19314.1111,42.6667,20.1111,200.2222,153.7778,-32.2222,731.6667
54796,718.2222,1119.5556,2799.7778,587.1111,8787.1111,62,2738,1673,314,143.7778,311.5556,11754.1111,35.6667,-3.1111,288.7778,80.7778,-174.4444,162.8889
54797,731.8889,1120,2836,587,8708.5556,46.8889,2789.1111,1679,310,22.1111,398.7778,16783.6667,17.2222,-6.3333,169.3333,127.7778,-23.7778,747.1111
54798,721,1103.2222,2678.1111,605.6667,8749.3333,114.6667,2563.5556,1629.7778,302,61.8889,344.4444,18326.2222,22.2222,-32.7778,201.8889,153.5556,-32.5556,725.7778
54799,726,1074,2600,605.2222,8770.3333,141.5556,2458.4444,1586.4444,291.6667,46.5556,585.7778,15704.1111,25.7778,43.6667,140.5556,107.1111,-16.8889,741.4444
54800,723.5556,1102.2222,2675.7778,610.3333,8741.8889,114.2222,2561.2222,1627.8889,300.1111,66.3333,361.8889,14801.7778,28,-3.2222,149.6667,116.2222,-16,769.7778
54801,712.2222,1112.3333,2718.6667,585.6667,8781.4444,70.4444,2648.2222,1643.8889,312.4444,70,228,19161,42.8889,-46.2222,226.6667,177.8889,-40.7778,727.2222
54802,713.6667,1109.4444,2716.6667,588.3333,8780.4444,66,2650.6667,1642.8889,311,137.2222,254.7778,11043.8889,42.5556,-18.4444,173.4444,139.7778,-21.3333,769.2222
54803,716,1152.4444,2744.8889,487,9052.3333,165.3333,2579.8889,1675.3333,328,6.4444,336.3333,18547.8889,45.2222,61.4444,198,156.3333,-33.4444,734.4444
54804,716,1147.2222,2752.6667,488.8889,9051.2222,164.6667,2588.1111,1676.1111,327,170.2222,362.6667,12183.4444,43.3333,63.7778,198.6667,143,-42,697.1111
54805,714,1142.3333,2741.1111,419.3333,9243.6667,159.6667,2581.4444,1674,336,76.2222,396,16445.7778,14.1111,69.4444,189.4444,156.6667,-17.6667,786.2222
54806,716,1141,2741.5556,421.8889,9232,145.6667,2596,1675,334,21.3333,335.2222,20233,45.8889,-7.3333,210.1111,162.6667,-30.3333,744.6667
54807,709,1131.3333,2714,505,9003.5556,141.1111,2572.7778,1658.6667,325,197.7778,315.7778,13651.2222,27.2222,12.2222,171.7778,141.2222,-17.6667,783
54808,708,1138,2723.4444,506.8889,8980.7778,135.6667,2588,1665.4444,326.6667,193.3333,303.7778,13824.1111,32.6667,32.7778,200.2222,165,-21.4444,780.4444
54809,708.8889,1153.6667,2761,509.6667,8960.6667,133.6667,2627.2222,1684.1111,330.6667,6.7778,149.8889,18834.3333,34.8889,-51.5556,218.6667,168.2222,-38.3333,722.7778
54810,711,1133.4444,2715,501.4444,8989.2222,148.2222,2566.8889,1662.4444,325.3333,94.2222,404.8889,17754.6667,40.3333,96.3333,195.6667,162.8889,-18.1111,799.7778
54811,709,1097.5556,2656.8889,515,9001.1111,158.3333,2498.4444,1623.3333,317,82.8889,609.5556,15910.3333,19.5556,87.2222,262.3333,191.3333,-45.5556,708
54812,714,1102.6667,2664.8889,498.6667,9036,157.4444,2507.3333,1628,317,140.5556,474.5556,15686.7778,8.6667,9.2222,202.3333,156,-29.8889,735.7778
54813,714,1104.4444,2668,498,9036.7778,157.2222,2511,1630.1111,317,139.1111,469,15296.1111,11.7778,17.4444,182.6667,143.4444,-25.1111,748.7778
54814,709,1174.2222,2803.1111,479.5556,8998.8889,148,2655,1708.1111,339.8889,121.2222,162.5556,13341.1111,25.1111,-0.3333,218.2222,156.7778,-43.2222,664.4444
54815,708,1171,2794.1111,489.3333,9003.1111,147.4444,2646.7778,1704,338.3333,32.3333,219.2222,15974.2222,31.7778,12.1111,217.6667,152.3333,-45.4444,667.8889
54816,709,1095.6667,2609.7778,519.5556,9026.3333,201.7778,2408.4444,1599,311.7778,192,651.6667,13140.8889,28.3333,71.3333,173.1111,127.2222,-29.5556,708.2222
54817,709,1100.4444,2641.6667,514.1111,8993.8889,178.1111,2463.5556,1617,316.2222,132.2222,550.4444,13064,27.4444,8.4444,189,152.2222,-17,782.3333
54818,733,1120.3333,2786.8889,600,8676.4444,83.3333,2703.6667,1675,306.8889,60.2222,483.2222,15900.4444,23.4444,9.2222,205,147.7778,-33.6667,705
54819,729.1111,1121.4444,2796.8889,597,8688.5556,74.8889,2721.8889,1676.6667,309.1111,26.5556,546.4444,19446.2222,43.7778,70.2222,179.7778,129.2222,-29.3333,712.5556
54820,718.7778,1131,2850.3333,591.6667,8714.2222,62,2788,1692.8889,319,9.6667,400.3333,18164.7778,34.3333,15.6667,173.6667,131.1111,-24.3333,739.8889
54821,722.8889,1127,2823.5556,595,8701.6667,72.3333,2751.2222,1686.3333,314.8889,9.5556,479.6667,19954.5556,37.5556,53.1111,212,151.7778,-39.3333,688.3333
54822,757.3333,1083.8889,2750.6667,605.3333,8624.5556,91.6667,2658.8889,1643.6667,289.4444,13.7778,694,17110.8889,15.4444,-2.1111,178.5556,137.7778,-23.2222,749.2222
54823,761.4444,1081.2222,2731,605,8619,124.1111,2607.2222,1631,285,10,722.2222,18090.4444,38.2222,-22,164,116.6667,-25.6667,712.1111
54824,774,1049.6667,2693.2222,585,8669.2222,110.3333,2583,1607.1111,277,145.3333,817.4444,17005.8889,14.8889,-32.5556,179.7778,133.1111,-22.6667,731.8889
54825,776,1037.3333,2687,581,8687.7778,91.1111,2595.6667,1599,275,95.5556,914.7778,19440,36.6667,9,194.5556,154.4444,-20,769.1111
54826,753.7778,1073.3333,2744.5556,609.2222,8608.7778,87.7778,2656.8889,1636,289.6667,14.6667,786.3333,17589.6667,32.1111,15.5556,196.1111,145.2222,-34.8889,705.8889
54827,774.2222,1064.6667,2719,572.1111,8680.8889,117.5556,2601.4444,1615,279.2222,37.3333,801.2222,17625.4444,17.4444,-1.7778,198.7778,145.4444,-27.2222,707.1111
54828,769.8889,1079.4444,2746.1111,568.1111,8689.3333,102,2644,1632.8889,284.5556,56.7778,733.6667,18527.7778,16.8889,-1.3333,232.8889,184.7778,-27.2222,761.5556
54829,774,982.2222,2645.2222,553.3333,8733.3333,17.1111,2628.1111,1567.7778,274,53.6667,1050.3333,18403,14.1111,7.6667,202,154.4444,-26.6667,740.8889
54830,773,1005.4444,2672,553,8731.8889,36,2636,1579.7778,275.8889,141.8889,912,17790.5556,45,-11.1111,338.3333,216.2222,-92,601.4444
54831,742.1111,1117,2839.7778,577,8696.6667,53.8889,2786,1686.1111,307,192.2222,489.4444,15182.8889,25.8889,0.1111,190.8889,151.2222,-21.7778,772.8889
54832,745.3333,1113.3333,2835.3333,575.1111,8695.8889,51,2784.5556,1682.6667,304.5556,8.4444,504,18134.7778,16.1111,10.8889,191.3333,139,-26.5556,729.3333
54833,746.6667,1101.5556,2794.6667,596,8643.8889,86,2708.6667,1670,300.1111,58.7778,759.8889,18961.7778,27.2222,77.3333,222.2222,170.2222,-29.3333,728.5556
54834,733.2222,1123.6667,2839.2222,585.3333,8692.4444,69.3333,2769.8889,1694.3333,312.3333,4,518,17178.6667,8,6.7778,190,148.3333,-21.3333,757.1111
54835,750.3333,1083.8889,2811.5556,589.2222,8651.3333,15.5556,2796,1655,296,162.7778,601,14654.7778,23.6667,0.1111,301.3333,259.1111,-29.3333,862.2222
54836,755.2222,1083.3333,2787.7778,591.4444,8646.6667,38.8889,2749,1656.1111,294,1.5556,512.8889,16114.1111,28.3333,-80.5556,220.5556,168.2222,-32.4444,734.2222
54837,761.4444,1089.7778,2792,584,8645.3333,51.3333,2741,1663.3333,293,3.5556,695.8889,18087.1111,26.7778,20,241.1111,190.2222,-33.1111,754.5556
54838,766.3333,1079.3333,2773,582.7778,8646.4444,58.2222,2714.7778,1646.8889,287.8889,103.7778,738.5556,14997,17.2222,14.6667,246.7778,174.8889,-45,687
54839,776,1047.1111,2736,585.7778,8642.2222,41.8889,2694.3333,1610.4444,276.8889,100.1111,822.6667,12568.6667,47.5556,36.3333,184.2222,133.7778,-31.4444,701.3333
54840,766.4444,1059.4444,2753.3333,591,8639.3333,43.5556,2709.6667,1626.8889,282.7778,50.1111,768.1111,14777.4444,53.8889,-4.8889,190.4444,136.3333,-30.2222,694.2222
54841,774.3333,958.2222,2617.4444,626,8496.2222,-17,2635,1547.6667,264.4444,118.7778,1075.7778,15070.1111,15.2222,1.2222,172.2222,133.3333,-19.8889,753.7778
54842,773.3333,942,2602,667.5556,8405.4444,-45.7778,2648.7778,1538.6667,261.2222,167.7778,1212.5556,16555.1111,44.2222,45.1111,223.2222,170.1111,-31.3333,734.2222
54843,772,940.6667,2617,602.7778,8561.6667,-49.8889,2667.8889,1544.2222,266,33.8889,1168.6667,18914.1111,20.4444,-22,227.8889,168.2222,-33.7778,713.6667
54844,772,944.5556,2617.6667,582.1111,8593.7778,-42.4444,2661,1545.3333,267.6667,12,1295,20108.5556,34.8889,73.5556,248.4444,205.7778,-24.8889,779.2222
54845,772,941.6667,2632,580,8611.6667,-50.8889,2684,1547,268.6667,175.6667,1201.1111,13750.8889,21.8889,34.5556,218.3333,148.4444,-45.2222,655.4444
54846,771.6667,1030.3333,2703,598.5556,8613.3333,48.4444,2654.2222,1590.1111,275,151.6667,932.8889,14664.5556,15.8889,32.1111,247.4444,168.4444,-53,649.6667
54847,762.7778,1061,2756.4444,614.4444,8579.8889,31.6667,2724.7778,1622.8889,282.8889,25,790,18789.2222,27.6667,3.6667,202.2222,156.1111,-29.3333,737.5556
54848,771.2222,1074.1111,2765.7778,594.3333,8602,62.6667,2703,1639.5556,283.5556,22.6667,699.4444,17224.4444,10.2222,-23.1111,172.5556,127.6667,-26.7778,733.4444
54849,763.3333,1096,2795.6667,603.2222,8594.1111,73.3333,2722.2222,1666.8889,290.7778,30.6667,648.2222,18508.5556,19,-4.1111,216.7778,168.7778,-30.5556,751.8889
54850,752.3333,1105.2222,2811.5556,581,8669.2222,64.1111,2747.5556,1679.2222,300.6667,7.1111,576.7778,17371.3333,21.3333,-6.2222,241.5556,173.3333,-45.1111,690.8889
54851,709.3333,1122,2688.4444,518.7778,8962.2222,164.5556,2523.8889,1646,321.6667,182.3333,373.4444,15960.1111,26,-25,192.2222,157.4444,-19,782.2222
54852,712,1107.1111,2669.7778,516.8889,8982,164,2506,1632.8889,318.2222,168,479.5556,12004.2222,38.1111,17.1111,219.6667,156,-30.8889,698.5556
54853,768.3333,1073,2758.4444,587,8630.7778,65.8889,2692.6667,1636.4444,284.5556,55.2222,677,14845.3333,33,-53.8889,154.5556,124.3333,-18.5556,772
54854,731.8889,1117,2856.3333,571.1111,8732.4444,42,2814.6667,1683,311.8889,182.6667,462,13348.2222,23.7778,40.4444,199.7778,162.5556,-22.7778,771.2222
54855,732,1126.1111,2863.4444,571,8733.6667,46.6667,2817,1695.2222,314,197,363.7778,15587.5556,11.6667,6.6667,238.5556,180.8889,-38.6667,717.1111
54856,751.1111,1085.6667,2772.7778,593.2222,8638,85.1111,2687.6667,1646.1111,293.7778,164.5556,833,10510.3333,43.5556,35.1111,128,95.8889,-17.8889,733.4444
54857,754,1081.3333,2758.4444,598,8621,103,2655.1111,1635.3333,290.1111,16.2222,817,20123.3333,36.3333,15,221.2222,151.8889,-41.1111,678.2222
54858,745.8889,1111.8889,2829.6667,576.1111,8692,54.7778,2775.1111,1682.3333,304.5556,13.4444,549.2222,19106.6667,30.3333,-21.6667,275.8889,226.5556,-34.6667,761.6667
54859,727,1140.8889,2871.5556,574,8734.2222,59.5556,2812,1710.6667,319.3333,91.5556,310.2222,16844.8889,15.8889,-34,324,135.7778,-148.1111,360.6667
54860,719.8889,1128.2222,2870.3333,612,8638.4444,43.3333,2827,1700,318.5556,97.8889,376.3333,18315.3333,25.1111,-11.6667,186.4444,140.1111,-26.4444,739.6667
54861,758.7778,1067.7778,2754,577,8664.5556,50.3333,2703.8889,1633.8889,289.6667,65,782.8889,20149.2222,39.4444,33.1111,213.1111,162.4444,-33,727
54862,737,1116.7778,2858.6667,573,8716.4444,36,2822.6667,1689.6667,310,57.2222,345.7778,17875.6667,17.7778,-32.6667,239.7778,194.3333,-39.1111,749.3333
54863,741.7778,1105,2846.4444,580,8694.1111,27.7778,2818.5556,1679.3333,305.3333,98.1111,474.2222,15001.1111,21.6667,42.7778,290.1111,202,-68,635.8889
54864,754,1063.8889,2796.4444,614,8550.1111,-4.7778,2802,1634,289,9,535.8889,16248.3333,29.2222,-51.4444,195.3333,144,-34,713.2222
54865,754,1057.2222,2772.6667,614.1111,8559.1111,6.7778,2766,1629.6667,289,187,719.8889,10314.5556,47.7778,41.5556,173.1111,135.7778,-18.8889,761.6667
54866,753,1028.5556,2730.3333,644.4444,8478.2222,-18.8889,2750.3333,1593,280.6667,70.2222,889.6667,13315,57.7778,61.6667,133.3333,99,-16.8889,734.2222
54867,753,1044.7778,2749.4444,641.8889,8475.3333,-1.6667,2751.5556,1612.1111,284.4444,150.7778,821.8889,16933.5556,47.1111,28.5556,239.3333,192.8889,-28.8889,764.5556
54868,755,994.1111,2677.3333,675.5556,8332,-14,2692,1552.3333,271.2222,94.4444,979.8889,12160.4444,53.7778,63.3333,166.5556,123.5556,-25.1111,728.4444
54869,753,1015.6667,2711.6667,652.2222,8415.6667,-9,2721.4444,1581,278,71.7778,876.3333,13246.5556,51,45.6667,168.5556,133,-24.6667,742.3333
54870,764.7778,1054.3333,2747,596.4444,8617,33.7778,2713.1111,1625,283.7778,185.3333,878.7778,14147.2222,29.2222,84.5556,207.4444,163.3333,-22.1111,775.7778
54871,754,990,2669.5556,635.6667,8518.5556,-7,2677.2222,1545.5556,272.4444,152.8889,1155.6667,14866.5556,25.5556,147.7778,229.7778,142.7778,-67.3333,573
